SUSPECT                     COUNT    POSSIBLE CORRECTION         COUNT
lagoa                           3    lagna                         543
laid                            2    said                           57
laid                            2    land                           34
lame                            4    same                           79
lame                            4    name                           42
lame                            4    fame                           35
lands                           4    land                           34
later                           5    water                          19
leaf                            3    lead                           13
left                            3    let                            10
leg                             2    let                            10
less                           14    loss                           56
let                            10    get                            31
likes                           7    like                           46
line                            3    life                          141
line                            3    like                           46
line                            3    live                           20
live                           20    life                          141
live                           20    give                           70
lived                           3    live                           20
lived                           3    lives                          20
liver                           4    live                           20
liver                           4    lives                          20
living                          5    giving                         18
looks                           2    look                           13
looses                          4    loose                          17
lose                           13    loss                           56
loses                           7    loss                           56
lost                            7    loss                           56
lost                            7    most                           34
lot                             4    not                           310
loved                           2    love                           13
lover                           3    over                           43
lover                           3    love                           13
lower                           5    power                          43
lung                            2    long                           25
lust                            2    must                           36
lust                            2    just                           15
lust                            2    last                           10
made                            7    make                           43
maha                            2    magha                          14
maha                            2    mala                           10
maharsi                         3    maharshi                       18
makara                          8    makar                          31
male                           10    make                           43
mangat                          9    mangal                        293
manly                           3    many                          100
manners                         3    manner                         17
mar                             4    may                           599
mar                             4    man                           196
marakas                        11    maraka                         45
meals                           3    means                          49
mean                           15    man                           196
mean                           15    means                          49
meat                            2    mean                           15
met                             2    get                            31
met                             2    men                            25
met                             2    let                            10
metal                           8    mental                         24
might                           4    light                          17
mine                            2    mind                           34
mine                            2    mina                           32
mood                            4    good                          167
mood                            4    moon                           75
move                            5    more                           63
naksbatra                       3    nakshatra                      66
named                           4    name                           42
names                           8    name                           42
natives                         2    native                        896
natured                         3    nature                         43
navamsas                        2    navamsa                       162
nearly                          2    early                          25
needs                           2    deeds                          14
neither                         6    either                         38
new                             8    few                            27
non                             3    not                           310
non                             3    son                            18
non                             3    now                            15
none                            2    one                           157
noon                            3    moon                           75
nor                             6    not                           310
nor                             6    for                           142
nose                            2    lose                           13
note                            3    not                           310
note                            3    noted                          25
now                            15    not                           310
once                            4    one                           157
ones                            7    one                           157
opinions                        2    opinion                        30
ore                             2    are                           743
ore                             2    one                           157
ore                             2    more                           63
owners                          3    owner                          11
owning                          5    owing                          16
page                            7    age                            48
para                            2    part                           38
para                            2    papa                           23
parasar                         5    parasari                       29
parasar                         5    parasara                       21
parijata                        2    parijat                        13
parts                           3    part                           38
parts                           3    arts                           10
pasa                            2    dasa                          170
pasa                            2    papa                           23
pasa                            2    pass                           10
past                            2    part                           38
past                            2    last                           10
past                            2    pass                           10
paternal                        4    maternal                       17
persons                         8    person                         86
plant                           2    planet                        511
pleasures                       3    pleasure                       11
positions                      16    position                       94
post                            2    most                           34
precious                        3    previous                       10
produced                        3    produce                        24
produces                        5    produce                        24
professions                     3    profession                     27
rahn                            4    rahu                          145
raises                          2    rises                          14
rajo                            2    raja                           13
rama                            3    raja                           13
rate                            2    late                           10
rather                          5    father                         58
reach                           4    each                           82
read                            3    head                           25
read                            3    lead                           13
receive                         3    receives                       10
relate                          2    related                        52
relations                       4    relation                       67
represent                       3    represents                     23
rest                            2    best                           13
rice                            2    rich                           29
right                           4    light                          17
ristba                          4    ristha                         36
risthas                         4    ristha                         36
round                           4    found                          21
rule                            9    rules                          38
ruled                           2    rules                          38
ruler                           8    rules                          38
run                             5    sun                            61
sage                            2    same                           79
sage                            2    age                            48
sage                            2    stage                          13
sama                            3    same                           79
sasa                            2    dasa                          170
say                            20    may                           599
seed                            2    see                            13
seeds                           3    deeds                          14
seek                            4    see                            13
seen                            5    been                           32
set                             5    get                            31
seven                           4    even                           59
sight                           4    light                          17
signified                       2    signifies                      41
signs                          13    sign                           78
sin                             2    sign                           78
sin                             2    sun                            61
sin                             2    son                            18
small                           3    shall                         153
son                            18    sun                            61
sorrows                         3    sorrow                         11
sound                           6    found                          21
sour                            2    our                            23
sour                            2    four                           17
spreads                         2    spread                         22
stand                           2    stands                         14
stars                          13    star                           61
start                           3    star                           61
start                           3    stars                          13
starts                          3    stars                          13
sthan                           2    than                           62
sub                             5    sun                            61
subjects                        3    subject                        32
sudra                           2    sukra                         285
sukha                           6    sukra                         285
sunk                            2    sun                            61
suspicious                      3    auspicious                     24
sweets                          2    sweet                          11
takes                           9    makes                          63
tall                            7    all                           184
tbe                            20    the                          5608
tear                            2    near                           10
tear                            2    fear                           10
thhe                            2    the                          5608
thigh                           4    high                           41
thin                            3    this                          279
thin                            3    than                           62
thin                            3    then                           26
thin                            3    thing                          14
think                           4    thing                          14
thinks                          2    things                         24
tho                             7    the                          5608
tho                             7    two                            84
tho                             7    who                            66
tho                             7    too                            22
thorough                        2    through                        58
thought                         4    though                         30
thus                            9    this                          279
tile                            3    time                           61
till                            4    will                          560
till                            4    ill                            21
times                           5    time                           61
tive                            2    give                           70
tive                            2    time                           61
tive                            2    live                           20
tne                             2    the                          5608
tne                             2    one                           157
tne                             2    tbe                            20
told                            2    cold                           12
tree                            4    three                          30
troubled                        5    trouble                        21
unfavourably                    2    unfavourable                  184
unfavourahle                    2    unfavourable                  184
versa                           4    vrsa                           26
viii                            7    iii                            28
virtue                          4    virtues                        13
vis                             8    his                           552
vis                             8    viz                            24
vrbaspatbi                      3    vrhaspatbi                     10
vrbaspathi                      6    vrhaspathi                    318
vrhaspatbi                     10    vrhaspathi                    318
vrhaspatbi                     10    vrhaspati                      37
vriscika                        3    vrscika                        31
wall                            3    will                          560
wall                            3    all                           184
wall                            3    well                           60
wall                            3    fall                           19
war                             5    was                            25
war                             5    way                            24
waters                          3    water                          19
waters                          3    watery                         16
ways                            6    was                            25
ways                            6    way                            24
ways                            6    days                           23
wears                           3    years                          29
were                           11    where                          46
west                            2    best                           13
what                           10    that                          443
white                           8    while                          31
whole                           7    while                          31
whom                            7    who                            66
whose                           2    those                          68
why                            10    who                            66
wide                            2    wife                          123
wield                           2    yield                          11
wild                            2    will                          560
wild                            2    wind                           12
win                             3    wind                           12
winds                           2    kinds                          20
winds                           2    wind                           12
windy                           3    wind                           12
wine                            3    wife                          123
wine                            3    wind                           12
wise                            7    wife                          123
wit                             4    with                          684
witb                            2    with                          684
word                            5    lord                         1128
words                          13    lords                         135
world                          12    would                          41
wound                           3    would                          41
wound                           3    found                          21
xii                             2    iii                            28
xii                             2    vii                            10
year                            7    years                          29
yet                             6    get                            31
yields                          2    yield                          11
yogakarakas                     7    yogakaraka                     26
